Block_Group,FIPS_Code,Formatted_FIPS,Probability that two individuals chosen at random would be of di
"421010010021, PA",421010010021,421010010021,31.09
"421010200002, PA",421010200002,421010200002,26.18
"421010390006, PA",421010390006,421010390006,46.1
"421010148001, PA",421010148001,421010148001,4.12
"421010195011, PA",421010195011,421010195011,32.3
"421010256002, PA",421010256002,421010256002,54.34
"421010298001, PA",421010298001,421010298001,67.91
"421010083013, PA",421010083013,421010083013,11.06
"421010138002, PA",421010138002,421010138002,36.02
"421010247003, PA",421010247003,421010247003,27.53
"421010312002, PA",421010312002,421010312002,73.71
"421010314012, PA",421010314012,421010314012,72.07
"421010236001, PA",421010236001,421010236001,35.9
"421010273003, PA",421010273003,421010273003,63.99
"421010341001, PA",421010341001,421010341001,16.94
"421010238004, PA",421010238004,421010238004,17.33
"421010338004, PA",421010338004,421010338004,54.4
"421010135004, PA",421010135004,421010135004,63
"421010180011, PA",421010180011,421010180011,30.01
"421010055002, PA",421010055002,421010055002,17.86
"421010326007, PA",421010326007,421010326007,48.23
"421010264006, PA",421010264006,421010264006,0
"421010042022, PA",421010042022,421010042022,64.65
"421010133002, PA",421010133002,421010133002,51.86
"421010263022, PA",421010263022,421010263022,17.27
"421010310002, PA",421010310002,421010310002,68.49
"421010098023, PA",421010098023,421010098023,22.42
"421010323001, PA",421010323001,421010323001,63.84
"421010273002, PA",421010273002,421010273002,57.12
"421010120001, PA",421010120001,421010120001,56.86
"421010335001, PA",421010335001,421010335001,65.71
"421010179004, PA",421010179004,421010179004,65.61
"421010336005, PA",421010336005,421010336005,30.26
"421010024005, PA",421010024005,421010024005,72.03
"421010174001, PA",421010174001,421010174001,29.8
"421010098012, PA",421010098012,421010098012,30.85
"421010299002, PA",421010299002,421010299002,60.92
"421010151022, PA",421010151022,421010151022,22.29
"421010300007, PA",421010300007,421010300007,71.76
"421010313003, PA",421010313003,421010313003,67.98
"421010254002, PA",421010254002,421010254002,31
"421010306006, PA",421010306006,421010306006,41.27
"421010156002, PA",421010156002,421010156002,46.26
"421010290004, PA",421010290004,421010290004,50.76
"421010301005, PA",421010301005,421010301005,66.14
"421010119002, PA",421010119002,421010119002,14.71
"421010211001, PA",421010211001,421010211001,42.67
"421010018002, PA",421010018002,421010018002,61.77
"421010104004, PA",421010104004,421010104004,16.47
"421010082006, PA",421010082006,421010082006,0
"421010174002, PA",421010174002,421010174002,27.99
